category_2,category_3,number_of_listings,avg_listing_price_eur,revenue_from_push_ups,push_ups_quantity,percent_push_ups
ACCESSORIES_JEWELLERY,ACCESS_MOBILE,14228,28.08185128,492,246,1.7289851
ACCESSORIES_JEWELLERY,BELTS,29838,21.2731614,1382,691,2.315838863
ACCESSORIES_JEWELLERY,GLOVES,6350,17.04385984,304,152,2.393700787
ACCESSORIES_JEWELLERY,JEWELRY,343493,17.93588,20554,10277,2.991909588
ACCESSORIES_JEWELLERY,KEY_RINGS,5,15.9,NULL,NULL,NULL
ACCESSORIES_JEWELLERY,OTHER_ACCESSORIES_AND_JEWELLERY,52245,33.02354752,2782,1391,2.662455737
ACCESSORIES_JEWELLERY,SOCKS_TIGHTS_STOCKINGS,8741,6.55535179,270,135,1.544445716
ACCESSORIES_JEWELLERY,SUNGLASSES,34020,47.93094327,3902,1951,5.734861846
ACCESSORIES_JEWELLERY,TRADITIONA_ACCESSORIES_WOMEN,271,16.50738007,6,3,1.10701107
ACCESSORIES_JEWELLERY,WATCHES,66595,67.92293445,9238,4619,6.935956153
ACCESSORIES_JEWELLERY,WOM_ACC_HATS_CAPS,53325,13.61605813,2448,1224,2.29535865
ACCESSORIES_JEWELLERY,WOM_ACC_SCARVES_SHAWLS,144286,12.81199035,5284,2642,1.831085483
ACCESSORIES_JEWELLERY,W_ACC_UMBRELLAS,1,5,NULL,NULL,NULL
ACCESSORIES_JEWELLERY,W_HAIR_ACCESSORIES,3417,10.0788089,100,50,1.463271876
ACCESSORIES_JEWELLERY,W_OTHER_ACCESSORIES,20205,17.18272952,1116,558,2.76169265
ALL_OTHERS,NULL,70215,18.26906744,3274,1637,2.331410667
BABY_CARE,BABY_CARRIERS_AND_BABY_CARRYING_BELTS,23534,52.92112731,3042,1521,6.462989717
BABY_CARE,BABY_FEEDING_ACCESSORIES,35882,10.55939803,1534,767,2.137562009
BABY_CARE,BAB_BIBS,4836,4.791346154,42,21,0.4342431762
BABY_CARE,BATHING_GEAR,10482,9.729632704,378,189,1.803091013
BABY_CARE,BOUNCERS_AND_SWINGS,9472,46.14404139,1122,561,5.922719595
BABY_CARE,CHILD_SAFETY,4960,17.82525806,230,115,2.318548387
BABY_CARE,DIAPERING_AND_CARING,22210,22.18133543,1598,799,3.597478613
BABY_CARE,POTTIES,1438,9.014986092,48,24,1.668984701
BABY_CARE,SLEEPING_ACCESSORIES,92987,12.79581888,5206,2603,2.799316033
BABY_CARE,TECHNICAL_ITEMS_FOR_BABIES_AND_KIDS,11227,27.7145827,1044,522,4.649505656
BABY_CARE,UMBRELLAS,322,9.166180124,4,2,0.6211180124
BABY_FURNITURE,BABY_BEDS,6101,91.76107523,886,443,7.261104737
BABY_FURNITURE,BEDDING_FOR_DIAPERS_CHANGING,1329,32.74691497,108,54,4.063205418
BABY_FURNITURE,BEDS_FOR_KIDS,3083,101.0257314,396,198,6.422315926
BABY_FURNITURE,EDUCATIONAL_BLANKETS,3069,21.30329097,336,168,5.474095797
BABY_FURNITURE,KIDS_ROOM_FURNITURE,4479,77.66778075,398,199,4.442956017
BABY_FURNITURE,MATTRESSES,1126,27.1142984,126,63,5.595026643
BABY_FURNITURE,NIGHTLIGHTS,1847,15.3640065,144,72,3.898213319
BABY_FURNITURE,NURSERIES,4118,75.34567509,726,363,8.814958718
BABY_FURNITURE,PLAYPENS,4307,54.22876248,514,257,5.967030416
BABY_FURNITURE,ROOM_DECORATION,8461,15.53660915,506,253,2.990190285
BAGS_BACKPACKS,BACKPACKS,24933,38.78657642,2824,1412,5.663177315
BAGS_BACKPACKS,CLUTCHES,26274,32.579066,2122,1061,4.038212682
BAGS_BACKPACKS,HANDBAGS,184771,69.99430674,23136,11568,6.260722732
BAGS_BACKPACKS,MAKE_UP_BAGS,6307,18.96329158,438,219,3.472332329
BAGS_BACKPACKS,PURSES,29923,38.59278515,3156,1578,5.273535408
BAGS_BACKPACKS,SATCHELS_NEW,13,14.30769231,2,1,7.692307692
BAGS_BACKPACKS,SHOULDER_BAGS,98807,43.71629571,10992,5496,5.562358942
BAGS_BACKPACKS,TOTE_BAGS,8233,12.31952994,440,220,2.672172962
BAGS_BACKPACKS,TRADITIONAL_BAGS_DE,219,16.93465753,4,2,0.9132420091
BAGS_BACKPACKS,WOM_ACC_BAG_OTHER,15462,36.60854159,1266,633,4.093907645
BAGS_BACKPACKS,W_BUM_BAGS,1,7.9,NULL,NULL,NULL
BAGS_BACKPACKS,W_HOLDALLS,7,26.42857143,NULL,NULL,NULL
BAGS_BACKPACKS,W_LUGGAGE,1,300,NULL,NULL,NULL
BOOKS_AND_SCHOOL,BOOKS_FOR_KIDS,48261,5.066480802,466,233,0.482791488
BOOKS_AND_SCHOOL,LITERATURE_FOR_PARENTS,10813,7.260281143,228,114,1.054286507
BOOKS_AND_SCHOOL,SCHOOLBOOKS,1682,6.02626635,20,10,0.594530321
BOOKS_AND_SCHOOL,SCHOOL_BAGS,2825,21.80997876,222,111,3.92920354
BOOKS_AND_SCHOOL,SCHOOL_PACKAGES,4326,10.77299353,126,63,1.45631068
BOOKS_AND_SCHOOL,SUPPLIES_FOR_SCHOOL,1933,6.945576824,32,16,0.8277289188
CHAIRS,BABY_CAR_CHAIRS,16579,77.38225225,2362,1181,7.123469449
CHAIRS,FEEDING_CHAIRS,8069,44.8820932,520,260,3.222208452
CHILD_SAFETY,BAB_CHI_OTHER,48,18.92604167,NULL,NULL,NULL
CLOTHING_FOR_BOYS,BABY_CLOTHING,201877,5.895854505,5900,2950,1.461285832
CLOTHING_FOR_BOYS,BOYS_UNDERW,26908,3.700221867,150,75,0.278727516
CLOTHING_FOR_BOYS,CLOTH_PACKAGES,240540,10.71542392,10888,5444,2.263241041
CLOTHING_FOR_BOYS,CLO_ACCESSORIES,76305,5.028772164,1350,675,0.8846078239
CLOTHING_FOR_BOYS,CLO_CARDIGANS_AND_JUMPERS,213368,6.491316692,6344,3172,1.486633422
CLOTHING_FOR_BOYS,CLO_FOOTWEAR,164689,12.55731615,9688,4844,2.941301483
CLOTHING_FOR_BOYS,CLO_OTH_SWIMWEAR,12303,6.354205478,154,77,0.6258636105
CLOTHING_FOR_BOYS,CLO_OTH_THEMED_COSTUMES,6499,16.90977073,528,264,4.06216341
CLOTHING_FOR_BOYS,CLO_PANTS,262873,6.582380503,5690,2845,1.082271667
CLOTHING_FOR_BOYS,COSTUMS_BOYS,3653,9.827569121,104,52,1.423487544
CLOTHING_FOR_BOYS,FOR_SLEEP,46647,5.095602075,662,331,0.7095847536
CLOTHING_FOR_BOYS,KIDS_HANDBAGS,551,9.964319419,14,7,1.270417423
CLOTHING_FOR_BOYS,OUTDOOR_CLOTHING,174736,13.66717168,12898,6449,3.690710558
CLOTHING_FOR_BOYS,SHIRTS_T_SHIRTS_AND_TOPS,263248,4.936977793,3616,1808,0.686804838
CLOTHING_FOR_BOYS,SPORTS_CLOTHING,22674,8.032237364,626,313,1.380435741
CLOTHING_FOR_BOYS,TWINS_BOYS,3816,9.121208071,138,69,1.808176101
CLO_SETS,NULL,1786,10.96353863,NULL,NULL,NULL
COSMETICS_AND_BEAUTY_ITEMS,BODY_CARE,145,11.51613793,6,3,2.068965517
COSMETICS_AND_BEAUTY_ITEMS,FACE_CARE,211,17.15327014,8,4,1.895734597
COSMETICS_AND_BEAUTY_ITEMS,HAIR_CARE,30,10.98966667,NULL,NULL,NULL
COSMETICS_AND_BEAUTY_ITEMS,HAND_NAIL_CARE,4,6.625,NULL,NULL,NULL
COSMETICS_AND_BEAUTY_ITEMS,MAKE_UP,7,12.85714286,NULL,NULL,NULL
COSMETICS_AND_BEAUTY_ITEMS,MEN_BEAUTY_TOOLS,80,29.766125,10,5,6.25
COSMETICS_AND_BEAUTY_ITEMS,MEN_COS_OTH_COSMETICS,11,13.04454545,NULL,NULL,NULL
